feature,corr
accommodates,0.4516803734504094
estimated_revenue_l365d,0.4348363149601873
bedrooms,0.3568805742768769
beds,0.2947440504440211
bathrooms,0.22660118137450513
calculated_host_listings_count,0.15454947422916326
host_total_listings_count,0.14283635120168484
review_scores_cleanliness,0.13910617077809964
review_scores_location,0.13629503752534938
host_acceptance_rate,0.12796013033361012
host_listings_count,0.1202887929799888
review_scores_accuracy,0.1129423522905984
instant_bookable,0.1118593363278416
latitude,0.10768208505923266
review_scores_rating,0.10612359976589007
host_is_superhost,0.1019490420123976
host_response_rate,0.08085648733973935
review_scores_value,0.08059328743725597
review_scores_checkin,0.07005528486420559
review_scores_communication,0.05649619252068539
estimated_occupancy_l365d,0.04040903297951333
reviews_per_month,0.036068342764994994
maximum_maximum_nights,0.027769863211658415
minimum_maximum_nights,0.02776956261865817
maximum_nights_avg_ntm,0.027766651682147987
number_of_reviews_ltm,0.024697999390264274
number_of_reviews_ly,0.020514715281726926
minimum_nights,0.017362100227574662
minimum_nights_avg_ntm,0.00983155232362128
number_of_reviews,0.006731293522362051
maximum_minimum_nights,0.0066571252021791
number_of_reviews_l30d,0.002237369098364899
minimum_minimum_nights,0.0007016081807324431
availability_30,0.0005257723996174771
maximum_nights,-0.008982594408296534
availability_60,-0.027539734432391452
availability_365,-0.035154084646803085
availability_90,-0.03623064614118686
availability_eoy,-0.043685319933902296
longitude,-0.20545778624646174
has_availability,
